show_id,type,title,director,cast,country,date_added,release year,rating,duration,listed_in,description
s0012,TV Show,Sample Title 12,Director H,"Actor E, Actor V, Actor B",Brazil,"June 04, 2022",1949.0,PG-13,1 Seasons,Animation,Sample Title 12 is a moving story about betrayal.
s0013,Movie,Sample Title 13,,"Actor E, Actor a, Actor P, Actor R",,"October 22, 2014",1989.0,TV-PG,152 min,"Fantasy, Family, Romance",Sample Title 13 is a surprising exploration about family.
s0014,Movie,Sample Title 14,Director V,"Actor W, Actor \, Actor [, Actor ^, Actor x",United States,"March 17, 2012",1927.0,R,153 min,"Comedy, Romance",Sample Title 14 is a heartfelt tale about mystery.
s0015,Movie,Sample Title 15,Director I,,South Korea,"March 13, 2012",1926.0,TV-MA,71 min,Action,Sample Title 15 is a thrilling exploration about courage.
s0016,Movie,Sample Title 16,Director B,"Actor Y, Actor A, Actor Q",Japan,"May 25, 2016",1974.0,NR,79 min,Thriller,Sample Title 16 is a heartfelt story about mystery.
s0017,,Sample Title 17,Director K,"Actor D, Actor f",Japan,,1987.0,,,"Comedy, Action, Animation",Sample Title 17 is a dramatic story about adventure.
s0018,TV Show,,Director ],"Actor f, Actor g, Actor C",Brazil,"November 03, 2011",1973.0,G,5 Seasons,Crime,Sample Title 18 is a moving journey about betrayal.
s0019,Movie,Sample Title 19,Director U,"Actor ^, Actor U, Actor |, Actor q",,"March 18, 2010",1978.0,TV-14,69 min,"Romance, Sci-Fi, Thriller",Sample Title 19 is a heartfelt journey about friendship.
s0020,TV Show,Sample Title 20,,"Actor v, Actor c, Actor n, Actor T, Actor h",South Korea,"March 06, 2010",2005.0,PG,2 Seasons,Thriller,Sample Title 20 is a gripping story about adventure.
s0021,Movie,Sample Title 21,Director T,"Actor n, Actor V, Actor N",Australia,"May 03, 2021",1982.0,PG,175 min,Comedy,Sample Title 21 is a moving exploration about family.
s0022,Movie,Sample Title 22,,"Actor i, Actor Q, Actor K",Japan,"May 17, 2022",2010.0,R,131 min,Comedy,Sample Title 22 is a gripping tale about mystery.
s0023,Movie,Sample Title 23,,"Actor \, Actor I, Actor C",,"March 07, 2018",2021.0,TV-MA,175 min,"Romance, Crime",Sample Title 23 is a heartfelt story about love.
s0024,TV Show,,Director N,"Actor |, Actor P, Actor x",United Kingdom,"December 21, 2013",,TV-MA,,,Sample Title 24 is a funny tale about family.
s0025,TV Show,Sample Title 25,Director B,"Actor O, Actor M, Actor u, Actor {, Actor ^",France,"November 05, 2016",2021.0,PG-13,4 Seasons,Crime,
s0026,Movie,Sample Title 26,Director Y,"Actor W, Actor j, Actor a, Actor Z",South Korea,"June 05, 2017",1923.0,TV-14,172 min,"Action, Fantasy",Sample Title 26 is a funny story about friendship.
s0027,Movie,Sample Title 27,Director Z,"Actor \, Actor g, Actor a, Actor H",Germany,"December 07, 2022",1944.0,PG,,"Documentary, Drama, Sci-Fi",
s0028,Movie,Sample Title 28,Director ^,"Actor h, Actor U, Actor k, Actor w",India,"September 26, 2016",1984.0,PG,145 min,,Sample Title 28 is a moving journey about mystery.
s0029,Movie,Sample Title 29,Director M,"Actor h, Actor e, Actor T",Germany,,,PG,96 min,,Sample Title 29 is a surprising journey about courage.
,Movie,Sample Title 30,Director Q,"Actor s, Actor z, Actor p, Actor K, Actor k",India,"May 13, 2016",1985.0,,71 min,Crime,
s0031,Movie,Sample Title 31,,"Actor _, Actor h, Actor w",India,,1973.0,,151 min,"Documentary, Family, Animation",Sample Title 31 is a heartfelt tale about adventure.
s0032,TV Show,,Director \,"Actor r, Actor \",Canada,"December 11, 2013",2022.0,,1 Seasons,"Romance, Comedy, Family",
,Movie,Sample Title 33,Director K,"Actor h, Actor u, Actor o, Actor z, Actor a",Germany,"April 16, 2022",1977.0,TV-PG,155 min,"Family, Thriller",Sample Title 33 is a surprising tale about family.
s0034,TV Show,Sample Title 34,Director Q,,Australia,,1954.0,G,6 Seasons,"Comedy, Action, Crime",Sample Title 34 is a heartfelt exploration about adventure.
s0035,Movie,Sample Title 35,Director N,"Actor V, Actor c, Actor ^, Actor [, Actor D",Canada,"June 04, 2019",1969.0,TV-MA,169 min,,Sample Title 35 is a funny journey about family.
s0036,Movie,Sample Title 36,Director [,"Actor c, Actor p, Actor t, Actor g, Actor z",Canada,"December 13, 2020",1948.0,PG,115 min,"Drama, Documentary",Sample Title 36 is a funny exploration about adventure.
s0037,Movie,Sample Title 37,Director E,"Actor {, Actor Z",Brazil,"August 29, 2022",,,70 min,"Documentary, Action, Family",Sample Title 37 is a heartfelt story about love.
,Movie,Sample Title 38,Director K,"Actor q, Actor y, Actor Y, Actor R",Germany,"August 29, 2015",1930.0,NR,62 min,"Sci-Fi, Drama, Horror",Sample Title 38 is a heartfelt story about family.
s0039,,Sample Title 39,,"Actor P, Actor M",United States,"December 08, 2023",1939.0,PG-13,3 Seasons,"Crime, Comedy",Sample Title 39 is a dramatic tale about courage.
s0040,TV Show,Sample Title 40,Director F,"Actor r, Actor u",United Kingdom,"December 23, 2016",1933.0,TV-MA,5 Seasons,"Crime, Documentary, Animation",Sample Title 40 is a moving tale about friendship.
s0041,Movie,Sample Title 41,Director H,"Actor m, Actor r",Australia,"June 20, 2023",2023.0,TV-14,,"Drama, Horror, Sci-Fi",Sample Title 41 is a thrilling journey about friendship.
s0042,Movie,Sample Title 42,Director \,,Japan,,1975.0,TV-PG,153 min,"Crime, Thriller, Fantasy",Sample Title 42 is a surprising exploration about courage.
,Movie,Sample Title 43,,"Actor w, Actor P, Actor v, Actor |",India,"April 03, 2016",1977.0,PG-13,156 min,"Fantasy, Animation",Sample Title 43 is a moving exploration about love.
s0044,Movie,Sample Title 44,Director F,"Actor N, Actor W, Actor t, Actor Q, Actor V",Australia,"May 16, 2023",2009.0,PG,131 min,Sci-Fi,Sample Title 44 is a heartfelt story about betrayal.
s0045,TV Show,Sample Title 45,Director Y,"Actor m, Actor _, Actor j",Japan,"January 20, 2020",2021.0,TV-MA,2 Seasons,"Romance, Documentary",Sample Title 45 is a moving tale about love.
s0046,TV Show,Sample Title 46,,"Actor \, Actor p, Actor d, Actor V",,"March 06, 2020",1954.0,,5 Seasons,,Sample Title 46 is a moving tale about love.
s0047,Movie,Sample Title 47,Director Y,"Actor M, Actor N, Actor p",Japan,"March 15, 2016",2012.0,PG,72 min,Thriller,Sample Title 47 is a heartfelt journey about betrayal.
s0048,Movie,Sample Title 48,Director E,,United Kingdom,"January 04, 2021",1933.0,TV-MA,133 min,"Family, Animation",Sample Title 48 is a thrilling journey about betrayal.
s0049,,Sample Title 49,Director \,"Actor H, Actor u, Actor E, Actor Z, Actor `",India,"December 10, 2022",2000.0,TV-MA,3 Seasons,Fantasy,
s0050,Movie,Sample Title 50,Director T,"Actor r, Actor b, Actor Y",Japan,"December 06, 2019",1958.0,R,,,Sample Title 50 is a moving story about family.
s0051,Movie,,Director V,,United Kingdom,"May 19, 2022",1929.0,TV-PG,60 min,"Family, Fantasy",Sample Title 51 is a thrilling journey about friendship.
s0052,Movie,Sample Title 52,Director W,"Actor E, Actor l, Actor O, Actor |, Actor Q",,"June 09, 2014",1974.0,,129 min,Crime,Sample Title 52 is a heartfelt journey about family.
s0053,Movie,Sample Title 53,Director Z,"Actor g, Actor p, Actor u, Actor e",Australia,"November 07, 2019",1935.0,NR,148 min,"Animation, Documentary",Sample Title 53 is a funny exploration about courage.
s0054,Movie,Sample Title 54,,"Actor p, Actor U, Actor g, Actor Q, Actor B",India,"February 19, 2015",,TV-MA,157 min,"Thriller, Fantasy, Drama",Sample Title 54 is a surprising tale about courage.
s0055,Movie,,Director I,"Actor f, Actor \, Actor i",,"January 18, 2012",1980.0,G,,"Horror, Crime",Sample Title 55 is a gripping tale about love.
s0056,Movie,Sample Title 56,Director V,"Actor u, Actor q, Actor d, Actor C, Actor ^",India,"January 20, 2017",1952.0,,74 min,"Sci-Fi, Drama",Sample Title 56 is a moving exploration about courage.
,Movie,Sample Title 57,Director T,"Actor i, Actor ], Actor q, Actor D, Actor N",Australia,"April 27, 2022",,PG,116 min,"Family, Comedy, Drama",Sample Title 57 is a moving tale about adventure.
s0058,Movie,,,"Actor F, Actor O, Actor v, Actor {, Actor H",Japan,"August 20, 2012",2002.0,TV-PG,123 min,"Thriller, Sci-Fi, Animation",Sample Title 58 is a thrilling exploration about courage.
,,Sample Title 59,Director M,"Actor {, Actor g, Actor a",,,1955.0,R,103 min,"Thriller, Drama, Animation",Sample Title 59 is a moving journey about family.
s0060,Movie,Sample Title 60,Director P,"Actor ], Actor c, Actor _",France,"June 16, 2017",1990.0,R,118 min,"Romance, Animation",Sample Title 60 is a dramatic exploration about betrayal.
s0061,TV Show,Sample Title 61,Director K,"Actor n, Actor {, Actor t, Actor Y, Actor k",United Kingdom,"February 09, 2021",1924.0,TV-PG,6 Seasons,Family,Sample Title 61 is a gripping exploration about friendship.
s0062,TV Show,Sample Title 62,Director U,"Actor E, Actor _, Actor s",Australia,"August 05, 2017",1999.0,R,2 Seasons,"Crime, Sci-Fi",Sample Title 62 is a thrilling journey about adventure.
s0063,TV Show,Sample Title 63,Director \,"Actor h, Actor E",Canada,"June 12, 2016",1949.0,TV-14,7 Seasons,Crime,Sample Title 63 is a moving story about courage.
s0064,Movie,Sample Title 64,Director A,"Actor U, Actor s",United States,"July 31, 2016",1965.0,G,115 min,Romance,Sample Title 64 is a dramatic exploration about mystery.
s0065,TV Show,Sample Title 65,Director F,"Actor h, Actor x",Germany,"November 25, 2023",2007.0,PG-13,,,Sample Title 65 is a moving journey about courage.
s0066,Movie,Sample Title 66,,"Actor z, Actor S, Actor l, Actor c, Actor K",India,"November 28, 2019",1964.0,PG,141 min,"Animation, Thriller",Sample Title 66 is a thrilling journey about betrayal.
s0067,TV Show,Sample Title 67,,"Actor Y, Actor e, Actor W",Brazil,"August 20, 2016",2009.0,PG,1 Seasons,"Documentary, Thriller, Drama",Sample Title 67 is a dramatic story about mystery.
s0068,TV Show,Sample Title 68,Director ],"Actor r, Actor t, Actor O, Actor g",France,"November 30, 2014",2001.0,PG-13,5 Seasons,"Animation, Crime, Action",Sample Title 68 is a moving story about adventure.
,TV Show,Sample Title 69,Director O,"Actor f, Actor X",United Kingdom,"January 09, 2012",1957.0,G,7 Seasons,Romance,Sample Title 69 is a heartfelt journey about mystery.
s0070,Movie,Sample Title 70,Director F,"Actor {, Actor u, Actor _, Actor t",Australia,"August 06, 2017",2022.0,TV-14,,Action,Sample Title 70 is a surprising tale about family.
s0071,TV Show,Sample Title 71,Director M,"Actor F, Actor s, Actor Z, Actor A",Australia,,1935.0,NR,6 Seasons,"Animation, Crime, Thriller",Sample Title 71 is a dramatic exploration about family.
s0072,TV Show,Sample Title 72,Director V,"Actor _, Actor B, Actor h",South Korea,"May 11, 2017",,PG-13,2 Seasons,"Family, Thriller, Documentary",Sample Title 72 is a gripping tale about friendship.
,TV Show,Sample Title 73,Director P,"Actor G, Actor P",South Korea,"January 16, 2013",1969.0,NR,6 Seasons,"Animation, Sci-Fi, Documentary",Sample Title 73 is a dramatic tale about courage.
s0074,TV Show,Sample Title 74,Director T,"Actor R, Actor C, Actor m, Actor X, Actor N",Japan,"December 22, 2019",1950.0,G,2 Seasons,"Horror, Sci-Fi, Animation",Sample Title 74 is a gripping exploration about love.
s0075,Movie,Sample Title 75,Director \,"Actor F, Actor k, Actor N, Actor j, Actor i",,"June 24, 2010",1926.0,G,91 min,Fantasy,Sample Title 75 is a heartfelt story about family.
s0076,TV Show,,Director G,"Actor V, Actor r, Actor J",Brazil,"January 24, 2010",1955.0,TV-PG,3 Seasons,"Thriller, Action, Comedy",Sample Title 76 is a moving story about betrayal.
s0077,Movie,Sample Title 77,Director H,"Actor B, Actor L, Actor Q, Actor D",United Kingdom,"June 11, 2019",1987.0,,155 min,Family,Sample Title 77 is a thrilling journey about mystery.
,Movie,Sample Title 78,Director H,"Actor o, Actor s",South Korea,"October 06, 2016",1978.0,TV-MA,,,Sample Title 78 is a moving story about courage.
s0079,TV Show,,Director ],"Actor U, Actor g",United Kingdom,"June 23, 2011",1936.0,PG,6 Seasons,"Fantasy, Sci-Fi",
s0080,,Sample Title 80,Director W,"Actor w, Actor j",South Korea,,1975.0,NR,4 Seasons,"Horror, Family",Sample Title 80 is a thrilling exploration about adventure.
s0081,Movie,,Director V,"Actor X, Actor J, Actor l, Actor |",Japan,"July 04, 2011",1931.0,TV-14,71 min,"Comedy, Horror",
s0082,Movie,Sample Title 82,Director R,"Actor k, Actor H, Actor [, Actor W",Germany,"February 26, 2011",1956.0,PG,105 min,Fantasy,Sample Title 82 is a dramatic tale about betrayal.
s0083,TV Show,Sample Title 83,Director D,"Actor w, Actor d, Actor X, Actor H",Australia,"November 17, 2022",1948.0,R,1 Seasons,"Crime, Thriller, Drama",Sample Title 83 is a heartfelt journey about adventure.
,TV Show,,Director L,"Actor L, Actor x",United Kingdom,"September 14, 2022",2004.0,R,2 Seasons,Animation,Sample Title 84 is a moving story about friendship.
s0085,TV Show,,Director N,"Actor V, Actor K, Actor X, Actor T, Actor o",France,"September 24, 2022",1996.0,TV-14,1 Seasons,Action,Sample Title 85 is a surprising story about adventure.
s0086,Movie,Sample Title 86,Director N,"Actor g, Actor ], Actor [, Actor R, Actor N",South Korea,"July 21, 2012",1964.0,R,74 min,"Crime, Animation",Sample Title 86 is a dramatic exploration about mystery.
s0087,TV Show,Sample Title 87,,"Actor g, Actor D, Actor A, Actor N, Actor T",Canada,,2017.0,PG,5 Seasons,"Comedy, Drama",Sample Title 87 is a thrilling exploration about betrayal.
s0088,Movie,Sample Title 88,Director H,"Actor E, Actor Z, Actor x, Actor p",United States,"October 14, 2019",1922.0,NR,177 min,Horror,
s0089,Movie,Sample Title 89,Director J,"Actor Z, Actor B",,"November 08, 2013",2022.0,NR,166 min,"Horror, Comedy, Documentary",Sample Title 89 is a surprising story about betrayal.
s0090,Movie,Sample Title 90,Director C,"Actor x, Actor T, Actor p, Actor V, Actor O",France,"October 09, 2013",1929.0,TV-14,127 min,"Romance, Horror, Crime",Sample Title 90 is a moving tale about betrayal.
s0091,Movie,Sample Title 91,,"Actor q, Actor j, Actor E",United Kingdom,"January 30, 2021",1979.0,,147 min,"Crime, Animation, Fantasy",Sample Title 91 is a funny journey about betrayal.
s0092,,Sample Title 92,Director U,"Actor s, Actor R, Actor f, Actor D",France,"May 19, 2021",1929.0,PG,119 min,"Drama, Animation",Sample Title 92 is a funny journey about friendship.
s0093,,Sample Title 93,Director C,"Actor ^, Actor f, Actor d, Actor s, Actor p",United States,"February 02, 2020",2023.0,PG-13,6 Seasons,"Family, Sci-Fi, Action",Sample Title 93 is a gripping exploration about friendship.
s0094,,Sample Title 94,Director W,,United Kingdom,"November 17, 2010",1951.0,NR,8 Seasons,"Sci-Fi, Fantasy, Action",Sample Title 94 is a funny journey about love.
s0095,Movie,Sample Title 95,Director V,"Actor s, Actor i",France,"June 24, 2011",1962.0,TV-14,131 min,"Documentary, Thriller, Crime",Sample Title 95 is a moving tale about love.
s0096,,Sample Title 96,Director ^,"Actor T, Actor j, Actor m, Actor k",Germany,"November 22, 2012",1996.0,TV-14,99 min,"Documentary, Crime, Horror",Sample Title 96 is a surprising tale about adventure.
s0097,TV Show,Sample Title 97,Director V,"Actor j, Actor k",Germany,"May 28, 2021",1966.0,TV-MA,,"Action, Romance",Sample Title 97 is a funny exploration about betrayal.
s0098,Movie,Sample Title 98,Director C,"Actor w, Actor s, Actor G, Actor a",South Korea,"October 23, 2021",1924.0,G,172 min,"Action, Fantasy, Documentary",Sample Title 98 is a heartfelt tale about betrayal.
,TV Show,Sample Title 99,Director Z,"Actor o, Actor ], Actor C",Germany,"March 04, 2018",2006.0,PG-13,8 Seasons,"Thriller, Family, Romance",Sample Title 99 is a dramatic tale about love.
s0100,TV Show,Sample Title 100,Director ],"Actor X, Actor l, Actor e",Japan,"May 10, 2020",2018.0,PG,7 Seasons,"Sci-Fi, Documentary, Action",Sample Title 100 is a surprising tale about family.
,TV Show,Sample Title 101,Director B,"Actor x, Actor X, Actor d, Actor |, Actor G",South Korea,"October 18, 2012",,TV-14,3 Seasons,"Family, Sci-Fi",Sample Title 101 is a heartfelt exploration about friendship.
s0102,TV Show,Sample Title 102,Director O,"Actor |, Actor B, Actor [, Actor D",,"April 05, 2021",1967.0,PG-13,7 Seasons,,Sample Title 102 is a heartfelt story about love.
s0103,TV Show,Sample Title 103,Director U,"Actor s, Actor J, Actor I, Actor C",,"August 06, 2020",2009.0,TV-PG,8 Seasons,"Fantasy, Drama",Sample Title 103 is a gripping story about love.
s0104,Movie,Sample Title 104,Director X,"Actor H, Actor r, Actor S, Actor P, Actor T",India,"January 27, 2011",,R,141 min,"Family, Comedy, Crime",Sample Title 104 is a surprising exploration about mystery.
s0105,Movie,Sample Title 105,,"Actor n, Actor J, Actor S",Germany,"January 13, 2010",1998.0,G,90 min,"Documentary, Action, Comedy",
s0106,TV Show,Sample Title 106,,"Actor Y, Actor x",Japan,"December 23, 2010",2001.0,R,6 Seasons,"Animation, Drama",Sample Title 106 is a funny story about love.
s0107,Movie,Sample Title 107,Director D,"Actor I, Actor C, Actor W, Actor c",France,"December 05, 2013",2019.0,NR,149 min,"Crime, Action",
s0108,TV Show,Sample Title 108,,,United States,"January 29, 2017",1959.0,R,8 Seasons,"Drama, Crime",Sample Title 108 is a heartfelt journey about love.
s0109,TV Show,Sample Title 109,,"Actor R, Actor H, Actor t, Actor X",Germany,,2015.0,NR,7 Seasons,"Action, Family",Sample Title 109 is a moving exploration about love.
,TV Show,Sample Title 110,Director Z,"Actor o, Actor \",India,"August 29, 2019",1997.0,,,"Comedy, Animation",Sample Title 110 is a funny journey about love.
s0111,Movie,Sample Title 111,Director F,"Actor W, Actor ], Actor C, Actor o, Actor x",,"October 16, 2023",1975.0,PG,141 min,Comedy,Sample Title 111 is a moving exploration about love.
s0112,Movie,Sample Title 112,,,Brazil,"October 30, 2019",1924.0,TV-PG,68 min,Crime,Sample Title 112 is a funny journey about courage.
s0113,,Sample Title 113,,"Actor l, Actor ], Actor X",France,"December 16, 2019",2017.0,TV-14,3 Seasons,"Horror, Documentary, Animation",Sample Title 113 is a moving journey about betrayal.
s0114,TV Show,Sample Title 114,,,South Korea,"August 22, 2012",1953.0,PG,8 Seasons,Fantasy,Sample Title 114 is a funny exploration about betrayal.
s0115,Movie,,Director O,"Actor z, Actor n, Actor ]",India,"March 03, 2017",2005.0,G,150 min,Sci-Fi,
s0116,TV Show,,Director ^,"Actor s, Actor X, Actor a",Canada,"September 21, 2012",1945.0,TV-PG,4 Seasons,"Drama, Horror",Sample Title 116 is a dramatic journey about courage.
s0117,TV Show,Sample Title 117,Director T,"Actor E, Actor T",Germany,"September 26, 2020",1987.0,R,7 Seasons,"Comedy, Action, Horror",Sample Title 117 is a moving story about courage.
s0118,Movie,Sample Title 118,,"Actor r, Actor I, Actor \",South Korea,"March 30, 2011",1935.0,TV-PG,98 min,Action,Sample Title 118 is a funny tale about love.
s0119,TV Show,Sample Title 119,Director J,"Actor Q, Actor M",South Korea,"February 27, 2016",,PG,2 Seasons,"Crime, Action, Fantasy",Sample Title 119 is a dramatic tale about betrayal.
s0120,TV Show,Sample Title 120,Director T,"Actor v, Actor |, Actor e, Actor C",United States,"October 28, 2011",1925.0,PG,4 Seasons,"Documentary, Fantasy, Drama",Sample Title 120 is a thrilling journey about adventure.
s0121,,Sample Title 121,Director Z,"Actor T, Actor ^, Actor E, Actor m, Actor D",United Kingdom,"November 11, 2019",1973.0,NR,8 Seasons,Horror,Sample Title 121 is a dramatic tale about love.
s0122,TV Show,Sample Title 122,Director \,"Actor Z, Actor I, Actor q, Actor X",South Korea,"August 07, 2022",1933.0,G,4 Seasons,"Comedy, Thriller",Sample Title 122 is a thrilling tale about betrayal.
s0123,Movie,Sample Title 123,Director M,"Actor P, Actor x, Actor z, Actor K, Actor u",France,,2012.0,,,Family,Sample Title 123 is a dramatic exploration about courage.
s0124,TV Show,Sample Title 124,Director C,"Actor a, Actor ^, Actor P, Actor N, Actor f",France,"February 03, 2011",1926.0,PG,8 Seasons,"Crime, Animation, Family",Sample Title 124 is a funny story about family.
s0125,Movie,Sample Title 125,Director I,"Actor q, Actor Z, Actor X, Actor C",Germany,"February 24, 2011",1992.0,PG-13,106 min,"Thriller, Comedy, Documentary",Sample Title 125 is a dramatic exploration about family.
s0126,,Sample Title 126,Director T,"Actor I, Actor G",Germany,"May 16, 2018",2021.0,,,"Action, Romance",
s0127,Movie,Sample Title 127,,"Actor t, Actor _, Actor b, Actor ^",United Kingdom,"August 07, 2023",1985.0,TV-PG,101 min,"Horror, Action, Documentary",Sample Title 127 is a dramatic journey about mystery.
s0128,Movie,Sample Title 128,Director R,"Actor n, Actor e, Actor T, Actor _, Actor u",United States,,1962.0,TV-14,113 min,"Thriller, Crime, Drama",Sample Title 128 is a dramatic exploration about love.
,TV Show,Sample Title 129,Director Y,"Actor o, Actor D, Actor f",Japan,"October 28, 2013",1987.0,R,3 Seasons,,Sample Title 129 is a moving story about betrayal.
s0130,Movie,Sample Title 130,Director E,"Actor m, Actor N, Actor [, Actor a, Actor r",Brazil,"July 30, 2020",2014.0,TV-MA,150 min,Sci-Fi,Sample Title 130 is a heartfelt journey about adventure.
s0131,Movie,Sample Title 131,Director F,"Actor {, Actor c, Actor V, Actor W, Actor l",Australia,"September 07, 2023",1981.0,PG-13,91 min,"Sci-Fi, Thriller",Sample Title 131 is a heartfelt journey about family.
s0132,Movie,Sample Title 132,Director W,"Actor U, Actor _, Actor W, Actor d, Actor |",Australia,"June 15, 2016",1935.0,R,174 min,"Horror, Action",Sample Title 132 is a funny story about love.
s0133,TV Show,Sample Title 133,Director ^,,,"January 30, 2022",1954.0,,,Fantasy,Sample Title 133 is a moving tale about betrayal.
s0134,Movie,Sample Title 134,Director H,"Actor D, Actor G, Actor [",France,"August 05, 2020",1932.0,TV-PG,60 min,"Action, Documentary, Family",Sample Title 134 is a thrilling tale about family.
s0135,TV Show,Sample Title 135,,,India,"November 17, 2022",1949.0,TV-MA,3 Seasons,"Action, Drama",Sample Title 135 is a surprising exploration about family.
s0136,,Sample Title 136,Director \,"Actor y, Actor C, Actor A, Actor T",,"July 09, 2023",1933.0,G,96 min,"Crime, Sci-Fi",Sample Title 136 is a dramatic exploration about betrayal.
s0137,TV Show,Sample Title 137,Director G,,Japan,"October 09, 2015",2011.0,TV-PG,1 Seasons,,
s0138,TV Show,Sample Title 138,Director M,"Actor a, Actor U, Actor F, Actor Z, Actor k",,"February 22, 2014",1937.0,NR,6 Seasons,Drama,Sample Title 138 is a funny exploration about betrayal.
s0139,Movie,,Director K,"Actor f, Actor o, Actor e, Actor A",Australia,"January 24, 2018",2008.0,PG-13,67 min,"Comedy, Family, Thriller",Sample Title 139 is a heartfelt exploration about adventure.
s0140,Movie,Sample Title 140,Director W,"Actor m, Actor H, Actor i, Actor {",Australia,"March 30, 2018",1998.0,PG-13,,Family,Sample Title 140 is a heartfelt exploration about adventure.
s0141,TV Show,Sample Title 141,,,,"July 21, 2015",2007.0,TV-14,8 Seasons,,Sample Title 141 is a dramatic story about friendship.
s0142,TV Show,Sample Title 142,Director G,"Actor K, Actor U, Actor w",South Korea,"November 29, 2019",1934.0,PG-13,8 Seasons,Sci-Fi,Sample Title 142 is a thrilling story about courage.
s0143,Movie,Sample Title 143,Director S,"Actor d, Actor ^",Australia,"June 28, 2010",1970.0,PG,164 min,Animation,Sample Title 143 is a heartfelt story about friendship.
s0144,Movie,Sample Title 144,Director R,"Actor |, Actor z",India,"August 03, 2020",1924.0,PG,112 min,Action,Sample Title 144 is a surprising exploration about love.
s0145,TV Show,Sample Title 145,Director \,"Actor Y, Actor F, Actor l, Actor k, Actor x",South Korea,"December 25, 2012",,G,2 Seasons,Sci-Fi,Sample Title 145 is a thrilling tale about adventure.
,TV Show,Sample Title 146,Director Y,"Actor T, Actor ^",South Korea,"July 07, 2019",1988.0,R,4 Seasons,Family,Sample Title 146 is a funny tale about love.
s0147,Movie,Sample Title 147,Director Y,,Germany,"October 17, 2023",2018.0,TV-MA,90 min,Comedy,Sample Title 147 is a gripping story about courage.
s0148,,Sample Title 148,Director B,"Actor p, Actor C, Actor Z",Japan,"April 04, 2015",1989.0,PG-13,,Action,Sample Title 148 is a dramatic journey about betrayal.
,TV Show,Sample Title 149,Director K,"Actor P, Actor T, Actor y, Actor J",South Korea,"December 16, 2014",1972.0,,5 Seasons,Sci-Fi,Sample Title 149 is a dramatic tale about adventure.
s0150,TV Show,Sample Title 150,Director B,,South Korea,"February 24, 2017",2009.0,R,7 Seasons,,Sample Title 150 is a thrilling tale about family.
s0151,Movie,Sample Title 151,Director H,"Actor w, Actor n, Actor J, Actor t",,"April 18, 2011",1991.0,R,113 min,"Sci-Fi, Action, Documentary",Sample Title 151 is a heartfelt journey about betrayal.
s0152,Movie,Sample Title 152,Director O,"Actor F, Actor c, Actor o, Actor v",Canada,"February 27, 2011",1954.0,R,146 min,"Fantasy, Drama, Comedy",Sample Title 152 is a heartfelt tale about courage.
s0153,Movie,Sample Title 153,Director J,,Canada,"August 19, 2012",2015.0,NR,177 min,Animation,Sample Title 153 is a dramatic tale about courage.
s0154,TV Show,,Director Y,"Actor Y, Actor ^, Actor c, Actor j",France,"December 01, 2016",1953.0,G,8 Seasons,"Comedy, Family",Sample Title 154 is a surprising journey about betrayal.
s0155,Movie,Sample Title 155,Director S,"Actor p, Actor J, Actor B",Australia,"May 30, 2022",1994.0,R,97 min,Romance,Sample Title 155 is a funny tale about courage.
s0156,,Sample Title 156,Director R,,,"May 03, 2020",1941.0,G,81 min,Animation,Sample Title 156 is a dramatic exploration about betrayal.
